ID,author,title,Pathogen kingdom,pathogen.kingdom.notes,Host kingdom,host kingdom notes,System,System.2,System.2.simplified,PP to ecosystem fxn,PP abundance,PP morbidity,PP to host infection prevalence / intensity,PP to abund biomass,PP to morbidity,PP to unknown,abund biomass to ecosystem fxn,morbidity to ecosystem fxn,unknown to ecosystem fxn,ecosystem fxn to PP,abiotic or biotic,location,note,experimental (PP manipulation or mimic) (1) observational (2) both (3),process vs. standing stock vs. both,process vs. standing stock notes,highest observational scale (species vs. community/ecosystem) of ecosystem impact,type of manipulation or comparison,spatial scale,coordinates in paper,date processed,time start,time end,time elapsed,exclude,reason for excluding
42,Stier,Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis,animal,,animal,,aquatic,coastal,marine,0,,,1,0,1,1,0,0,1,0,1,"Texel
(Balgzand, Netherlands)",ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem,1,process,process,species,"field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]",1,,,,,,
53,Bernot,Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling,animal,,animal,,aquatic,river,freshwater,1,,,0,0,0,1,0,1,1,0,1,"White River, Muncie, IN, USA",,2,both,both,species,observation: field-collected hosts with and without infection measured in lab; experiment: lab,3 collection sites,0,,,,,,
59,Connelly,Changes in Stream Primary Producer Communities Resulting from   Large-Scale Catastrophic Amphibian Declines: Can Small-Scale Experiments   Predict Effects of Tadpole Loss?,fungus,,animal,,aquatic,stream,freshwater,0,,,0,1,0,,1,0,,0,1,"Parque Nacional G. D. Omar Torrijos Herrera, El
Cope´, Cocle´, Panama (840¢N, 8035¢W); Reserva Forestal Fortuna, Chiriquı´, Panama
(842¢N, 8214¢W)",,3,both,both,ecosystem,observation: reach with and without frogs; experiment: host exclusion,observation: stream reach; experiment: 0.5 meters sq,1,,,,,,
73,van der Putten,Soil feedback of exotic savanna grass relates to pathogen absence and   mycorrhizal selectivity,fungus,,plant,,terrestrial,savanna,savanna,0,,,0,0,1,,0,1,,0,1,"Kalahari, Botswana",,1,stock,stock,assemblage,PP removed (sterilization) vs. allowed,outdoor shade house,0,,,,,,
82,Matthies,"Interactions between a root hemiparasite and 27 different hosts: Growth,   biomass allocation and plant architecture",plant,,plant,,terrestrial,grassland,temperate grassland,1,,,0,1,1,,1,1,,0,1,"Göttingen, Germany",,1,both,both,assemblage,PP added vs. without,pots in outdoor garden,0,,,,,,
108, NDAGURWA,"Decomposition and nutrient release patterns of mistletoe litters in a   semi-arid savanna, southwest Zimbabwe",plant,,plant,,terrestrial,savanna,savanna,1,,,0,1,0,,0,0,,0,0,"Matapos Research Station, Bulawayo, Zimbabwe",,1,both,both,assemblage,litter-bag decomposition experiment comparing parasite to host,individual trees in 30 ha plot,1,,,,,,
114,Frost,Bacterial infection changes the elemental composition of Daphnia magna,bacteria,,animal,,aquatic,freshwater,freshwater,0,,,0,1,1,,0,1,,,1,not reported,,1,stock,stock,species,experimental infection of lab-reared hosts,20 mL tubes,0,,,9/19/2018 16:33:04,,,
118,Connelly,Initial versus longer-term effects of tadpole declines on algae in a   Neotropical stream,fungus,,animal,,aquatic,stream,freshwater,0,,,0,1,0,,1,0,,0,1,"Rio Guabal, Parque  Nacional G. D. Omar Torrijos Herrera, El Cope, Cocle, Panama",,2,process,process (stock over time),ecosystem,"time: pre-decline, initial post-decline, longer-term post-decline",reach,1,,15:32,15:46,0:14:00,,
136, NDAGURWA,"The influence of mistletoes on nutrient cycling in a semi-arid savanna,   southwest Zimbabwe",plant,,plant,,terrestrial,savanna,savanna,1,,,0,0,0,1,0,0,1,0,1,"Matapos Research Station, Bulawayo, Zimbabwe",,2,process,process (stock over time),assemblage,"field: compare with and without parasite, compare parasite vs. host",30 hectare,1,7/27,8:40,9:12,0:32:00,,
147,Masumoto,The effect of tar spot pathogen on host plant carbon balance and its   possible consequences on a tundra ecosystem,fungus,,plant,,terrestrial,tundra,tundra,1,,,1,1,0,,1,0,,0,0,"Spitsbergen Island, Norway",,2,process,process (carbon balance),ecosystem,"field observation and lab experiments from field-collected samples, compare infected vs. non-infected and over time",20 X 20 cm plots,1,7/27,9:13,9:37,0:24:00,,
170,Demey,Effects of two contrasting hemiparasitic plant species on biomass   production and nitrogen availability,plant,,plant,,terrestrial,grassland,temperate grassland,1,,,0,1,0,,1,0,,0,1,"Flanders, Belgium",,1,both,both,assemblage,manipulative field experiment: parasite removal vs. controls,2 X 2m blocks in 20X20 m areas in 6 sites,1,7/27,9:38,10:05,0:27:00,,
228,Schnitzer,Soil microbes drive the classic plant diversity-productivity pattern,fungus,,plant,,terrestrial,grassland,temperate grassland,0,,,0,1,1,,1,0,,0,1,"Cedar Creek Ecosystem
Science Reserve, Minnesota, USA; University of
Guelph, Ontario, Canada",,1,stock,stock,assemblage,pathogen manipulation in outdoor pots  ,pots,0,7/27,10:12,10:36,0:24:00,,
246,Heineman,"Evaluation of stem rot in 339 Bornean tree species: implications of   size, taxonomy, and soil-related variation for aboveground biomass   estimates",fungus,,plant,,terrestrial,rain forest,rainforest,0,,,1,1,0,,1,0,,0,1,"Central Sarawak and Lambir Hills National Park, Sarawak, Malaysia",,2,stock,stock,ecosystem,natural variation in infection prevalence across plots,plots from 200 to 2000 m2,1,7/27,14:14,14:40,0:26:00,,
247,Krell,Endophytic Metarhizium brunneum mitigates nutrient deﬁcits inpotato and improves plant productivity and vitality,fungus,,plant,,terrestrial,agricultural,agricultural,0,,,0,1,1,1,1,0,1,0,1,"Bielefeld, Germany",,1,both,both,species,artificial infection with endophytic endopathogen,pots in greenhouse,0,7/27,14:40,14:59,0:19:00,,
254,Tesitel,"
Reversing expansion of Calamagrostis epigejos in a grassland   biodiversity hotspot: Hemiparasitic Rhinanthus major does a better job   than increased mowing intensity",plant,,plant,,terrestrial,meadow,temperate grassland,0,,,0,1,0,,1,0,,0,1," Čertoryje National Nature Reserve, White Carpathian Mts., southeast Moravia, Czech Republic",,1,process,process (stock over time),species,experimental infection of invasive plant with hemiparasitic plant,3m x 3m plots,0,7/27,15:07,15:22,0:15:00,,
255,Baker,Climate change promotes parasitism in a coral symbiosis,dinoflagellates,,animal,,aquatic,coral,Coral reef,1,,,0,0,1,,0,1,,0,1,"Carrie Bow Cay, Belize",,1,both,both,species,field-collected coral incubated in tanks or bottles,4 cm2 coral fragments in 500 ml bottles,1,7/27,15:28,15:51,0:23:00,,
263,Kolb,Differential effects of herbivory and pathogen infestation on plant   population dynamics,not reported,,plant,,terrestrial,forest,temperate forest,0,,,1,1,1,,1,0,,0,1,northwestern Germany,plant population growth,1,process,process,species,comparison of individual and population vital rates in relation to infection,1 m2 plot inside 3-5m exclosures or outside exclosures,,7/27,16:53,17:24,0:31:00,,
292,Norgrove,Effects of different copper fungicide application rates upon earthworm   activity and impacts on cocoa yield over four years,fungus,,plant,,terrestrial,agricultural,agricultural,0,,,0,1,0,,1,0,,0,1,"Zoatoupsie,
approximately 10 km south of Mbalmayo; in southern
Cameroon",count effect on non-host phenotype as morbidity,3,both,both,ecosystem,interviews w/ farmers; experimental treatment to remove PP,25m x 25m plots,1,7/30,9:25,10:15,0:50:00,1,effects of PP and non-PP not separable
304,Cobb,Ecosystem transformation by emerging infectious disease: loss of large tanoak from California forests,fungus,,plant,,terrestrial,forest,temperate forest,0,,,,1,0,,1,0,,0,1,"California, USA",,2,stock,stock,assemblage,observations over time,500 m2 plots,possibly in appendix,7/30,,,,1,duplicate
313,Bell,Scale dependence of disease impacts on quaking aspen (Populus   tremuloides) mortality in the southwestern United States,fungus,,plant,,terrestrial,forest,temperate forest,0,,,,1,0,,1,0,,0,1,southwestern USA,mortality,2,process,process (mortality),species,observations of infected vs. uninfected hosts over time,plots of (4*168.3 m2) X (4*168.3),appendix,7/30,14:10,14:25,0:15:00,1,no information on ecosystem effects 
328,Salomon,Infection by Amoebophrya spp. parasitoids of dinoflagellates in a   tropical marine coastal area,dinoflagellates,,dinoflagellates,Phylum Dinoflagellata,aquatic,ocean,marine,1,,,1,1,1,,0,0,,0,0,"Cabo
Frio area, South Brazil Bight",,2,stock,stock,species,observations over time and space of infection prevalence and host phenotype,5 sites,0,7/30,14:38,14:55,0:17:00,,
343,Allan,Foliar fungal pathogens and grassland biodiversity,fungus,,plant,,terrestrial,grassland,temperate grassland,0,,,1,1,0,,1,0,,0,1,"Lower Church Field, Silwood Park, Berkshire, southeast England",,1,stock,stock,assemblage,experimental manipulation excluding or including PP,blocks (22 X 11 m),0 (UK National Grid Reference #),7/30,15:02,15:11,0:09:00,,
474,Sheik,"Responses of the coastal bacterial community to
viral infection of the algae Phaeocystis globosa",virus,,plant,,aquatic,ocean,marine,0,,,0,1,0,,1,0,,0,0,"coastal North Sea, The Netherlands",,1,both,both,assemblage,experimental manipulation of viral lysis vs. control,flasks,0,7/31,13:45,14:06,0:21:00,,
542,Paseka,"Low parasite biomass in oligotrophic streams differs
from previous estimates in aquatic ecosystems",animal,,animal,,aquatic,stream,freshwater,1,,,1,0,0,,0,0,,0,0,"Pine Barrens, NJ, USA",ecosystem scale because all hosts,2,stock,stock,ecosystem,observation of parasites and hosts,100-m reach in two streams,1,8/1,15:10,15:28,0:18:00,,
1674,Baudoux,Estimates of virus- vs. grazing induced mortality of picophytoplankton   in the North Sea during summer,virus,,multiple,,aquatic,ocean,marine,1,1,,1,1,0,,1,0,,0,1,North Sea,hosts: bacteria and eukaryote,2,process,process,assemblage,experiments to observe effects of PP from samples taken across sites,lab assays from samples taken from ~55 to ~60 latitude,1,8/3,10:57,11:22:00,0:25:00,,
1371,Velthuis,Warming advances top-down control and reduces producer biomass in a   freshwater plankton community,fungus,,eukaryote,,aquatic,lake,,0,0,,1,1,0,,1,0,,0,1,"Wageningen,
The Netherlands",,1,process,process,ecosystem,mesocosm manipulation of temperature,8 988 L indoor mesocosms,1,8/3,13:01,13:24,0:23:00,,
1375,Ellis,Effects of nest invaders on honey bee (Apis mellifera) pollination   efficacy,animal,,animal,,terrestrial,agricultural,,0,0,,1,1,1,1,1,0,0,0,1,"Horticulture Farm of the
University of Georgia, Oconee County, GA, USA",,1,both,both,assemblage,experimental manipulation of varroa mite infection intensity adjacent to crops,"210 canola plants, 960 blueberry racemes",1,8/3,13:32,13:56,0:24:00,,
1392,Mabuhay,"Response of soil microbial communities to changes in a forest
ecosystem brought about by pine wilt disease",animal,,plant,,terrestrial,forest,,0,0,,0,1,0,,1,0,,0,0,"Ryuosan, Higashi-Hiroshima
City, Japan",assemblage = bacteria and fungi (microbial biomass),3,both,both,assemblage,"observations of parasitized versus unparasitized area, including litter-bag decomposition experiment","3 10x10m plots, 1 parasitized, 1 control site",0,8/3,13:24,13:54,0:30:00,,
1418,Spaulding,A glimpse at future forests: predicting the effects of Phytophthora   ramorum on oak forests of southern Appalachia,fungus,,plant,,terrestrial,forest,,0,0,,0,1,0,,1,0,,0,0,"Daniel Boone National
Forest in the Cumberland Plateau region of Kentucky
(Laurel, McCreary, Pulaski, and Whitley Counties), USA","assemblage = red oaks, white oaks, 4 non-oak species",2,process,process (stock over time),assemblage,"SOD invaded vs. uninvaded forests, now and projections",3 0.04 ha plots at 18 sites,0,8/3,15:16,15:33,0:17:00,,
1436,Bao,Effects of the hemiparasitic plant Pedicularis kansuensis on plant   community structure in a degraded grassland,plant,,plant,,terrestrial,grassland,,0,0,,1,1,0,,1,0,,0,1,"Haiyan County, Haibei Tibetan Autonomous Prefecture,
Qinghai Province, China","ecosystem = ""all species"", p. 509",3,stock,stock,ecosystem,haustorial connections: observed in unmanipulated samples; experimental manipulation of parasitized vs. non-parasitized plots,"10 plots, each 4m x 4m, 100 m apart",1,8/3,15:43,16:07,0:24:00,,
1458,Daleo,Grazer facilitation of fungal infection and the control of plant growth in south-western Atlantic salt marshes,fungus,,plant,,intermediate,salt marsh,estuaries,0,0,,1,1,1,,1,0,,0,1,Argentinean coast,,3,stock,stock,species,observation of plants with naturally occurring fungal infection; experimental manipulation by fungal removal and crab (herbivore) exclusion,"observational: 4 sites along 1500 km of coast; experiment: 28 plots 0.7 X 0.7 m, separated by 3 m",1,8/3,16:20,16:36,0:16:00,,
1491,Li,Lytic viral infection of bacterioplankton in deep waters of the western   Pacific Ocean,virus,,bacteria,,aquatic,ocean,,0,1,,0,1,0,,1,0,,0,1,western Pacific,assemblage = Synechococcus,2,process,process,assemblage,lab assays with environmental samples,bottles collected from 10 stations along 2 transects,1,8/3,16:48,17:09,0:21:00,,
1745,Larsen,Increasing temperature counteracts the impact of parasitism on   periwinkle consumption,animal,,animal,,aquatic,coastal,,0,0,,0,1,1,,1,1,,0,1,"Rønbjerg Marine Biological Station,
Limfjorden, Denmark",,1,stock,stock,species,microcosm: manipulation of infection status and temperature,plastic cup (250 ml) in tank,1,8/6,14:52,15:11,0:19:00,,
1783,Boras,Effect of ice melting on bacterial carbon fluxes channelled by viruses   and protists in the Arctic Ocean,virus,,bacteria,,aquatic,Arctic ocean,,1,1,,0,1,0,,1,0,,0,1,northern Greenland Sea and Arctic Ocean,,,process,process,assemblage,lab assays with environmental samples,bottles,1,8/6,15:11,15:31,0:20:00,,
1812,Preston,Biomass and productivity of trematode parasites in pond ecosystems,animal,,animal,,aquatic,pond,,1,0,,1,0,0,,0,0,,0,1,"Quick, North, and Sheep Ponds, Alameda County, CA, USA",assemblage of parasites (not all parasites/pathogens),2,both,both,assemblage,sampling of taxa for parasites and observing parasite production from one taxa,3 ponds,0,8/7,9:50,10:06,0:16:00,,
1817,Hartley,Introduced plague lessens the effects of an herbivorous rodent on   grassland vegetation,bacteria,,animal,,terrestrial,grassland,,0,0,,0,1,0,,1,0,,0,0,"Pawnee National Grassland, CO, USA",,2,stock,stock,ecosystem,comparison of ecosystem in plague-affected vs. unaffected locations,plots (0.25m2) in colony and off-colony,0,8/7,15:59,16:19,0:20:00,,
1825,Piskiewicz,Soil microorganisms in coastal foredunes control the ectoparasitic   root-feeding nematode Tylenchorhynchus ventralis by local interactions,animal,,plant,,terrestrial,dunes,desert,0,0,,1,1,0,,1,0,,0,1,"Voorne, The Netherlands",,1,stock,stock,species,split-root experiment,experiments in pots using soil from 10 points 50 m from each other,1,8/7,16:46,16:52,0:06:00,,
1840,Friberg,Effect of earthworms and incorporation of grass on Plasmodiophora   brassicae,fungus,,plant,,terrestrial,agricultural,,0,0,,1,1,0,,1,0,,0,1,"Ultuna estate, Uppsala, Sweden; Sabyholm, 30 km NW of Stockholm","ecosystem process affects PP: grass, earthworm as potential effects on PP ",1,stock,stock,species,greenhouse experiment ,experimental pots,1,8/7,16:56,17:12,0:16:00,,
1859,Ndagurwa,"The influence of mistletoes on nitrogen cycling in a semi-arid savanna,   south-west Zimbabwe",plant,,plant,,terrestrial,savanna,,1,0,,0,0,0,,0,0,,0,0,"Matapos Research Station, Bulawayo, Zimbabwe",,observational,stock,stock,assemblage,soil and litter sampling associated with infected and uninfected trees,5 10m x 10m plots,1,8/7,,,,,
1865,Shelford,Virus-mediated transfer of nitrogen from heterotrophic bacteria to   phytoplankton,virus,,bacteria,,aquatic,ocean,,0,1,,0,1,0,,1,0,,0,1,"Queen Charlotte Sound; southern coastal British Columbia, Canada",process=uptake (over time); assemblage = Synechococcus and Vibrio,1,process,process,assemblage,lab experiments with infection; field experiments with lysate,"bottles and on-deck incubators; water collected from 1 site for lab experiment, 4 sites for field experiment",1,8/8,8:30,8:52,0:22:00,,
1881,LeRoy,A fungal endophyte slows litter decomposition in streams,fungus,,plant,,terrestrial,stream,,0,0,,1,0,1,,0,1,,0,0,"Evergreen State College, northwest of Olympia, WA, USA",process=decomposition over time,1,process,process,species,litter-bag decomposition experiment comparing infected vs. uninfected litter,11 plots for litter infection study; stream is 1 km,1,8/8,8:52,9:10,0:18:00,,
1887,Varner,Fires without tanoak: the effects of a non-native disease on future   community flammability,fungus,,plant,,terrestrial,forest,,0,0,,0,0,1,,0,1,,0,1,"Maple Creek, CA; Arcata, CA","Does flammability (of litter with and without pathogen effects) fit as an ecosystem process? I think it counts within biogeochemical cycles. One of the measures of flammability is mass loss, which is also a common measure of decomposition (which we include). ",1,process,process,assemblage,lab experiment burning for species with and without host species,two field sites,0,8/8,9:10,9:35,0:25:00,,
1493,Colon-Gaud,Potential functional redundancy and resource facilitation between tadpoles and insect grazers in tropical headwater streams,fungus,,animal,,terrestrial,stream,,0,0,,0,1,0,,1,0,,0,0,"headwaters of the Rı´o Guabal in the Parque Nacional
Omar Torrijos Herrera, El Cope´, Cocle´ Province, in
central Panama´",,2,process,process,assemblage,observation of changes during host assemblage decline due to pathogen,two 100-m reaches,1,8/8,9:35,9:59,0:24:00,,
1519,Haraldsson,Microbial parasites make cyanobacteria blooms less of a trophic dead end   than commonly assumed,multiple,,multiple,,aquatic,lake,,1,0,,1,1,0,,1,0,,0,0,"Lake Aydat, French Maasif Central",ecosystem = include all microbes,2,both,both,assemblage,food web model based on field data during cyanobacteria bloom,small lake,0,8/8,10:13,10:54,0:41:00,,
1520,Wang,"Carbon and nitrogen parasitism by a xylem-tapping
mistletoe (Tapinanthus oleifolius) along the Kalahari
Transect: a stable isotope study",plant,,plant,,terrestrial,savanna,,1,0,,0,1,0,,1,1,,0,1,3 locations along Kalahari Transect,,2,stock,stock,species,chemical analyses of host and parasite leaves,3-4 host-mistletoe pairs at 3 locations,1,8/8,11:19,11:39,0:20:00,,
1539,Sala,The dynamics of bottom-up and top-down control in a New England salt   marsh,fungus,,plant,,intermediate,marsh,,0,,,1,1,0,,1,0,,0,1,"Prudence Island, Narragansett Bay, RI, USA",,1,stock,stock,species,field experiment,64 plots each 0.5m x 0.5m,0,8/8,12:48,13:01,0:13:00,,
1567,Metz,Unexpected redwood mortality from synergies between wildfire and an   emerging infectious disease,fungus,,plant,,terrestrial,forest,,0,0,,0,1,0,,1,0,,0,0,"Big Sur, Monterey County, CA, USA",,2,stock,stock,assemblage,observation of effects on non-disease-impacted tree species of sudden oak death and fire,280 500-m2 plots,0,8/8,15:05,15:23,0:18:00,1,1? not absolute basal area
1568,Larsen,"Influence of infection by Sacculina carcini (Cirripedia, Rhizocephala)   on consumption rate and prey size selection in the shore crab Carcinus   maenas",animal,,animal,,aquatic,coastal,,1,0,,0,0,1,,0,1,,0,0,"Rønbjerg Marine Biological Station, Limfjorden,Denmark",,,stock,stock,species,experimental manipulation of infection status to determine effects on consumption rate and prey size preferences of crabs,15 L containers (60),1,8/8,15:25,15:49,0:24:00,,
1585,Stein,Interactive effects of mycorrhizae and a root hemiparasite on plant   community productivity and diversity,plant,,plant,,terrestrial,meadow,,0,0,,0,1,0,,1,0,,0,1,"Frankenwald, Germany",,1,stock,stock,assemblage,greenhouse mesocosm experiment manipulating hemiparasite and AMF,,1,8/8,16:00,16:18,0:18:00,,
1589,Lagrue,The scaling of parasite biomass with host biomass in lake ecosystems:   are parasites limited by host resources?,animal,,animal,,aquatic,lake,,1,0,,0,0,0,,0,0,,0,1,South Island of New Zealand,,2,stock,stock,ecosystem,observations of all free-living and parasitic metazoans,4 15 m x 15m areas at each of four lakes,1,8/8,16:19,16:35,0:16:00,,
1590,McKinney,Invasive pathogen threatens bird-pine mutualism: implications for   sustaining a high-elevation ecosyste,fungus,,plant,,terrestrial,forest,,0,0,,1,1,0,,1,0,,0,1,"Central and Northern Rocky Mountains, USA",,2,stock,stock,species,"observation of impacts of infection and mortality on cone production and dispersal by Clark's nutcracker, along a gradient of whitebark pine impacts from blister rust",three ecosystems,1,8/8,16:36,16:54,0:18:00,,
1612,Bale,Transformation of chlorophyll a during viral infection of Emiliania   huxleyi,virus,,bacteria,,aquatic,ocean,,0,1,,0,1,1,,0,1,,0,0,Plymouth Marine Laboratory,,1,process,process,species,lab experiment: time course of chl a in infected vs. uninfected cells,culture vessels,0,8/9,7:55,8:05,0:10:00,,
